epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.41913,2.60966,7.3951,2.015,0.00152,0.1448,0.00154,0.00061,2.15512,6.50323,2.11708,0,0,0
2,19.7169,1.94212,6.03642,1.62608,0.00157,0.1448,0.00157,0.00065,2.14194,6.48821,2.11549,1.66494e-05,1.66494e-05,1.66494e-05
3,29.3643,2.22375,5.59683,1.85674,0.00164,0.1448,0.00168,0.00071,2.12632,6.50805,2.08146,3.32575e-05,3.32575e-05,3.32575e-05
4,39.365,2.06126,5.77225,1.68301,0.00604,0.06787,0.00241,0.00093,2.09136,6.53081,2.03327,4.98243e-05,4.98243e-05,4.98243e-05
5,48.9172,2.21574,7.36191,1.64158,0.00498,0.06787,0.00233,0.00096,2.12308,6.58245,2.05017,6.63499e-05,6.63499e-05,6.63499e-05
6,59.5632,2.02896,6.14256,1.66547,0.0037,0.06787,0.00228,0.00096,2.14375,6.57934,2.05794,8.28343e-05,8.28343e-05,8.28343e-05
7,69.3062,2.16712,6.68477,1.81397,0.01002,0.03846,0.00469,0.0012,2.18962,6.60045,2.07178,9.92774e-05,9.92774e-05,9.92774e-05
8,79.2942,2.25046,6.84973,1.83839,0.02679,0.07692,0.00941,0.00702,1.91821,6.25503,1.65863,0.000115679,0.000115679,0.000115679
9,90.253,2.06842,5.06852,1.64385,0.63763,0.18896,0.19766,0.16838,1.6381,4.72025,1.32628,0.00013204,0.00013204,0.00013204
10,101.352,1.89398,4.63195,1.49247,0.71616,0.18552,0.25986,0.1777,1.51658,5.87411,1.26359,0.000148359,0.000148359,0.000148359
11,112.418,1.80953,3.02779,1.36899,0.8773,0.18552,0.24704,0.15827,1.56408,3.84108,1.25188,0.000164637,0.000164637,0.000164637
12,123.332,1.81713,3.08461,1.38572,0.63693,0.22398,0.26388,0.14964,1.68364,3.75984,1.5538,0.000180874,0.000180874,0.000180874
13,134.159,1.58273,2.33875,1.26261,0.16549,0.56561,0.16182,0.07347,1.6566,5.96551,1.50717,0.000197069,0.000197069,0.000197069
14,145.039,1.54271,2.41634,1.14435,0.63917,0.33344,0.36615,0.0968,1.5761,3.82919,1.32345,0.000213224,0.000213224,0.000213224
15,155.525,1.45732,2.80131,1.2503,0.62798,0.27605,0.34491,0.14253,1.64167,3.45458,1.38305,0.000229337,0.000229337,0.000229337
16,166.313,1.46547,2.29658,1.19334,0.7579,0.63273,0.64634,0.3056,1.47526,2.55318,1.31452,0.000245408,0.000245408,0.000245408
17,177.199,1.64844,2.7369,1.25219,0.71106,0.411,0.522,0.22339,1.5158,3.29727,1.20429,0.000261439,0.000261439,0.000261439
18,187.732,1.47418,1.807,1.09153,0.71106,0.411,0.522,0.22339,1.5158,3.29727,1.20429,0.000277428,0.000277428,0.000277428
