epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,31.2517,0.92694,2.69224,0.89409,0.0016,0.41667,0.08489,0.06795,0.87347,3.91765,1.01353,0.000578782,0.000578782,0.000578782
42,32.0153,1.04064,2.97577,1.04998,0.00196,0.58333,0.00873,0.00692,0.86615,3.89573,1.00398,0.000590997,0.000590997,0.000590997
43,32.7875,0.97581,3.12608,1.0865,0.002,0.58333,0.00339,0.00217,0.93027,3.92317,1.03791,0.000603101,0.000603101,0.000603101
44,33.5802,1.01143,2.39149,1.13519,0.00211,0.58333,0.00347,0.00207,0.91356,3.95529,1.09998,0.000615095,0.000615095,0.000615095
45,34.4102,1.12174,2.38809,1.05773,0.00218,0.58333,0.00391,0.00221,0.93694,3.97153,1.25107,0.000626979,0.000626979,0.000626979
46,35.2123,1.01063,2.96238,1.01594,0.00221,0.58333,0.00496,0.00236,1.02144,3.94802,1.88612,0.000638753,0.000638753,0.000638753
47,36.013,1.2001,2.58685,1.35871,0.00227,0.58333,0.00617,0.00316,1.01825,4.01353,2.1963,0.000650417,0.000650417,0.000650417
48,36.7885,1.10143,2.33043,1.06967,0.00209,0.58333,0.00724,0.00359,1.0608,4.02207,1.99573,0.000661971,0.000661971,0.000661971
49,37.558,1.09073,2.90763,1.09962,0.00032,0.16667,0.00503,0.00178,0.99567,3.99144,1.35988,0.000673415,0.000673415,0.000673415
50,38.3277,1.10517,2.45427,1.00395,0.00029,0.16667,0.00184,0.00065,1.02371,3.96404,1.35409,0.000684749,0.000684749,0.000684749
51,39.0504,1.03705,2.43437,1.04278,0.00029,0.16667,0.00184,0.00065,1.02371,3.96404,1.35409,0.000695973,0.000695973,0.000695973
52,39.8362,1.21346,3.61004,1.30053,0.00027,0.16667,0.00183,0.00052,1.00443,3.8958,1.18551,0.000707086,0.000707086,0.000707086
53,40.5718,1.0982,2.9319,1.01875,0.00027,0.16667,0.00183,0.00052,1.00443,3.8958,1.18551,0.00071809,0.00071809,0.00071809
54,41.3525,0.95682,3.04832,1.07,0.00026,0.16667,0.00096,0.00049,0.97756,3.85745,1.14451,0.000728984,0.000728984,0.000728984
55,42.0811,1.16886,3.14234,1.09836,0.00026,0.16667,0.00096,0.00049,0.97756,3.85745,1.14451,0.000739768,0.000739768,0.000739768
56,42.8423,0.97116,3.13555,1.09925,0.00025,0.16667,0.00149,0.0007,0.97306,3.81573,1.12817,0.000750442,0.000750442,0.000750442
57,43.5718,0.95834,2.18117,1.22252,0.00025,0.16667,0.00149,0.0007,0.97306,3.81573,1.12817,0.000761006,0.000761006,0.000761006
58,44.3316,0.96081,2.00323,0.97236,0.00024,0.16667,0.00427,0.00226,0.93952,3.75592,1.13606,0.000771459,0.000771459,0.000771459
59,45.0501,1.06496,2.25369,1.27371,0.00024,0.16667,0.00427,0.00226,0.93952,3.75592,1.13606,0.000781803,0.000781803,0.000781803
60,45.8182,1.07639,2.61336,1.06369,0.00024,0.16667,0.02401,0.01441,0.91345,3.66662,1.07021,0.000792037,0.000792037,0.000792037
61,46.5353,1.13149,2.0473,1.1056,0.00024,0.16667,0.02401,0.01441,0.91345,3.66662,1.07021,0.00080216,0.00080216,0.00080216
62,47.2887,0.8673,2.06207,0.88478,0.00026,0.16667,0.16759,0.03355,0.9329,3.59412,1.08947,0.000812174,0.000812174,0.000812174
63,47.9989,1.13805,3.09947,1.11386,0.00026,0.16667,0.16759,0.03355,0.9329,3.59412,1.08947,0.000822078,0.000822078,0.000822078
64,48.7563,1.10699,2.23186,1.22313,0.00025,0.16667,0.16758,0.06706,0.91661,3.63134,1.06679,0.000831871,0.000831871,0.000831871
65,49.4868,1.06826,2.33368,0.9843,0.00025,0.16667,0.16758,0.06706,0.91661,3.63134,1.06679,0.000841555,0.000841555,0.000841555
66,50.2496,1.07411,2.14614,1.02377,0.0017,0.35417,0.23713,0.14846,0.87994,3.57242,1.05079,0.000851129,0.000851129,0.000851129
67,50.9739,1.00406,2.17331,1.15499,0.0017,0.35417,0.23713,0.14846,0.87994,3.57242,1.05079,0.000860592,0.000860592,0.000860592
68,51.7423,1.20678,2.32221,1.097,0.79246,0.16667,0.16796,0.08821,0.96995,3.48832,1.12465,0.000869946,0.000869946,0.000869946
69,52.4923,0.93732,1.94881,1.05661,0.79246,0.16667,0.16796,0.08821,0.96995,3.48832,1.12465,0.000879189,0.000879189,0.000879189
70,53.2706,0.87913,2.23293,1.17205,0.00027,0.16667,0.16759,0.11731,0.86857,3.58816,1.02842,0.000888323,0.000888323,0.000888323
71,53.9842,0.96718,1.89209,1.06259,0.00027,0.16667,0.16759,0.11731,0.86857,3.58816,1.02842,0.000897346,0.000897346,0.000897346
72,54.743,0.98723,1.71991,1.02225,0.00032,0.16667,0.0024,0.00052,1.00694,3.82769,1.18236,0.00090626,0.00090626,0.00090626
73,55.4667,1.08835,2.2233,1.03906,0.00032,0.16667,0.0024,0.00052,1.00694,3.82769,1.18236,0.000915063,0.000915063,0.000915063
74,56.2362,0.88099,2.49783,0.9498,0.00032,0.16667,0.16761,0.02805,1.01504,4.08771,1.20832,0.000923756,0.000923756,0.000923756
75,56.9617,1.1858,1.83408,1.1515,0.00032,0.16667,0.16761,0.02805,1.01504,4.08771,1.20832,0.00093234,0.00093234,0.00093234
76,57.7097,0.94587,2.29323,0.94066,0.50074,0.16667,0.16759,0.08379,1.00387,4.05029,1.29515,0.000940813,0.000940813,0.000940813
77,58.4242,0.84193,1.9095,0.86426,0.50074,0.16667,0.16759,0.08379,1.00387,4.05029,1.29515,0.000949176,0.000949176,0.000949176
78,59.1767,0.84004,1.97788,1.0122,0.00027,0.16667,0.16759,0.03402,1.09737,4.00362,1.32762,0.00095743,0.00095743,0.00095743
79,59.8836,0.90299,1.83165,0.8965,0.00027,0.16667,0.16759,0.03402,1.09737,4.00362,1.32762,0.000965573,0.000965573,0.000965573
80,60.642,0.97541,1.88737,0.95122,0.00029,0.16667,0.1676,0.03492,1.05478,3.81882,1.13518,0.000973606,0.000973606,0.000973606
81,61.3523,1.10167,2.7658,1.15964,0.00029,0.16667,0.1676,0.03492,1.05478,3.81882,1.13518,0.00098153,0.00098153,0.00098153
82,62.1023,1.01295,2.59281,0.97215,0.00059,0.33333,0.1678,0.05065,1.03438,3.77234,1.17139,0.000989343,0.000989343,0.000989343
83,62.82,0.9614,1.72917,0.94855,0.00059,0.33333,0.1678,0.05065,1.03438,3.77234,1.17139,0.000997046,0.000997046,0.000997046
84,63.5799,1.13568,2.05139,1.18048,0.84374,0.16667,0.16888,0.10139,0.97175,3.90167,1.18893,0.00100464,0.00100464,0.00100464
85,64.2923,1.22181,1.93789,1.21766,0.84374,0.16667,0.16888,0.10139,0.97175,3.90167,1.18893,0.00101212,0.00101212,0.00101212
86,65.048,1.17664,1.9405,1.06547,0.92646,0.16667,0.17393,0.08766,1.20775,4.10107,1.48014,0.0010195,0.0010195,0.0010195
87,65.7593,1.03576,1.67403,1.05512,0.92646,0.16667,0.17393,0.08766,1.20775,4.10107,1.48014,0.00102676,0.00102676,0.00102676
88,66.4934,0.79069,1.36768,0.99584,0.85376,0.16667,0.16899,0.0847,1.7379,4.16796,2.16246,0.00103391,0.00103391,0.00103391
89,67.2271,1.0129,2.02724,1.00884,0.85376,0.16667,0.16899,0.0847,1.7379,4.16796,2.16246,0.00104095,0.00104095,0.00104095
90,68.0126,0.77312,1.6357,0.9933,0.89314,0.16667,0.16864,0.08445,1.7159,4.35566,2.0445,0.00104789,0.00104789,0.00104789
91,68.7411,0.91122,3.15913,0.91167,0.89314,0.16667,0.16864,0.08445,1.7159,4.35566,2.0445,0.00105471,0.00105471,0.00105471
92,69.5014,0.99787,1.89634,1.33989,0.96276,0.16667,0.1685,0.08433,1.94401,4.36298,2.58435,0.00106142,0.00106142,0.00106142
93,70.2162,0.88324,1.6579,0.95985,0.96276,0.16667,0.1685,0.08433,1.94401,4.36298,2.58435,0.00106803,0.00106803,0.00106803
94,70.9583,1.12786,2.22674,1.10022,0.93779,0.16667,0.16851,0.06759,2.16607,4.4678,3.33049,0.00107452,0.00107452,0.00107452
95,71.6599,0.76174,1.8115,1.01491,0.93779,0.16667,0.16851,0.06759,2.16607,4.4678,3.33049,0.0010809,0.0010809,0.0010809
96,72.4054,0.98152,1.91124,1.04387,0.87585,0.16667,0.16853,0.08444,2.15279,4.66618,2.99248,0.00108718,0.00108718,0.00108718
97,73.1243,1.07774,2.01928,1.11677,0.87585,0.16667,0.16853,0.08444,2.15279,4.66618,2.99248,0.00109334,0.00109334,0.00109334
98,73.8746,0.89717,2.0025,0.83481,0.00132,0.5625,0.00218,0.00115,1.87803,4.3587,2.49489,0.00109939,0.00109939,0.00109939
99,74.5939,0.84128,1.62823,0.96398,0.00132,0.5625,0.00218,0.00115,1.87803,4.3587,2.49489,0.00110533,0.00110533,0.00110533
100,75.355,1.18341,2.71081,0.99981,0.00131,0.5625,0.00382,0.00204,1.64468,4.18729,2.48735,0.00111117,0.00111117,0.00111117
101,76.0664,1.12346,2.22994,1.18568,0.00131,0.5625,0.00382,0.00204,1.64468,4.18729,2.48735,0.00111689,0.00111689,0.00111689
102,76.8391,0.81877,1.28661,1.02071,0.00128,0.5625,0.07255,0.05494,1.47791,4.22184,1.71363,0.00111139,0.00111139,0.00111139
103,77.5488,1.21565,2.32165,1.0887,0.00128,0.5625,0.07255,0.05494,1.47791,4.22184,1.71363,0.00110589,0.00110589,0.00110589
104,78.3045,0.88442,2.11874,1.06666,0.52266,0.16667,0.08599,0.06033,1.30619,4.81348,1.51431,0.00110039,0.00110039,0.00110039
105,79.0188,0.97931,1.70555,1.03965,0.52266,0.16667,0.08599,0.06033,1.30619,4.81348,1.51431,0.00109489,0.00109489,0.00109489
106,79.767,0.9117,1.54764,0.98453,0.51213,0.5,0.41721,0.31169,1.14352,5.63566,1.22647,0.00108938,0.00108938,0.00108938
107,80.4913,1.03808,1.74584,1.01307,0.51213,0.5,0.41721,0.31169,1.14352,5.63566,1.22647,0.00108388,0.00108388,0.00108388
108,81.2464,0.922,2.23943,1.04514,0.50535,0.56663,0.44888,0.36396,1.11005,8.82158,1.22478,0.00107838,0.00107838,0.00107838
109,81.9757,1.01385,1.47038,0.96534,0.50535,0.56663,0.44888,0.36396,1.11005,8.82158,1.22478,0.00107288,0.00107288,0.00107288
110,82.7473,1.16455,1.9028,0.97973,0.37906,0.88368,0.48259,0.37437,1.00029,15.9882,1.15204,0.00106738,0.00106738,0.00106738
111,83.5286,0.82151,1.83705,0.96864,0.37906,0.88368,0.48259,0.37437,1.00029,15.9882,1.15204,0.00106188,0.00106188,0.00106188
112,84.32,0.88742,1.63125,0.9692,0.50195,0.8708,0.5092,0.38358,0.90127,22.9278,1.10287,0.00105638,0.00105638,0.00105638
113,85.0482,0.95929,1.75876,0.96836,0.50195,0.8708,0.5092,0.38358,0.90127,22.9278,1.10287,0.00105088,0.00105088,0.00105088
114,85.8161,0.97255,1.69779,0.9335,0.502,0.84656,0.52397,0.38912,0.95167,22.5711,1.09865,0.00104538,0.00104538,0.00104538
115,86.5457,0.864,1.51929,1.0026,0.502,0.84656,0.52397,0.38912,0.95167,22.5711,1.09865,0.00103987,0.00103987,0.00103987
116,87.2899,0.94134,1.60803,0.93185,0.50194,0.86027,0.60891,0.45039,0.95981,19.2785,1.11493,0.00103437,0.00103437,0.00103437
117,88.0103,0.94573,2.1086,1.13913,0.50194,0.86027,0.60891,0.45039,0.95981,19.2785,1.11493,0.00102887,0.00102887,0.00102887
118,88.7597,1.19795,2.27184,1.18832,0.5022,0.86708,0.6118,0.45174,0.85706,17.7364,1.05459,0.00102337,0.00102337,0.00102337
119,89.4872,0.93387,1.89598,0.98532,0.5022,0.86708,0.6118,0.45174,0.85706,17.7364,1.05459,0.00101787,0.00101787,0.00101787
120,90.2447,1.06848,2.09739,1.06259,0.4298,0.875,0.52096,0.376,0.90939,23.0043,1.09764,0.00101237,0.00101237,0.00101237
121,90.9419,0.95125,2.03615,0.90623,0.4298,0.875,0.52096,0.376,0.90939,23.0043,1.09764,0.00100687,0.00100687,0.00100687
122,91.6951,0.89486,1.67886,0.8924,0.4151,0.875,0.54155,0.3814,0.92168,21.2164,1.11592,0.00100137,0.00100137,0.00100137
